chinese_name,english_names,english_descriptions,chinese_spans,csi_category_stage_1,csi_consensus_spans,csi_or_not,csi_category_stage_2
卤肉饭,"['rice topped with stewed pork', 'braised pork belly in soy sauce served with rice']","['', '']",卤肉 卤肉饭,1,,1,
凤爪排骨饭,"['steamed mini rib and chicken claw rice', 'spare ribs and chicken feet rice', 'spare ribs and chicken claws rice pot']","['', 'Suitable for vegetarian Denotes option', '']",凤爪 排骨 排骨饭,0,,0,
罗汉斋面,"[""monk's vegetarian soft noodles"", 'monks vegetarian soft noodles']","['', 'cloud ear mushroom bean curd and pak choi']",斋面 罗汉,1,罗汉,1,2.0
宫保鸡片,['chicken kung po style'],[''],宫保鸡 片 宫保,1,宫保,1,1.0
腊味萝卜糕,"['pan fried turnip cake contains pork and prawn', 'Pan-fried Chinese Sausage Radish Cake', 'pan fried turnip patties']","['', '', '']",腊味 萝卜 萝卜糕 糕,1,萝卜糕 腊味,1,
什菜炒面,"['mixed vegetable chow mein', 'mixed vegetables chow mein']","['with Crispy or Soft Noodle', '63V']",炒面 什菜,1,什菜,1,1.0
蚝油鲜竹卷,"['beancurd roll', 'stuffed tofu roll']","['', '']",蚝油 鲜竹卷,1,,1,
上海辣虾球,['shanghai hot chilli king prawns'],[''],上海 辣 虾球,0,,0,
红油燃面,['noodles in spicy sauce'],"[""322kcal;Din Tai Fung's signature Fried Rice;owes its popularity to freshly prepared;ingredients and a skilled hand Taikeng;No Taiwanese Rice is specially;imported for its fragrance and texture;Free range eggs are added at just the;right temperature to coat every single""]",燃面 红油,2,燃面,1,1.0
沙律明虾角,['prawn envelopes with mayonnaise dip'],[''],明虾角 角 沙律 明虾,2,明虾角 沙律 明虾 角,1,
辣子牛肉,['beef with chilli and garlic'],[''],辣子 牛肉,1,,1,
茉莉花苹果和紫苏,['jasmine parfait with apple and shiso sorbet'],['(v)'],茉莉 茉莉花 苹果 和 紫苏,2,,1,
椒盐大虾,"['salt and chilli king prawn', 'salt pepper king prawn on the shell', 'salt and pepper king prawns', 'salt and pepper king prawn']","['', 'Deep Fried King Prawn', '', '']",椒盐 大虾,0,,0,
煎脆面,"['crispy noodles', '\text { crispy noodles }']","['', '']",煎 脆面,0,,0,
豉汁蒸凤爪,['chicken feet in black bean sauce'],[''],豉汁 凤爪 蒸,2,豉汁,1,-1.0
芝麻菠菜,['spinach dressed in sesame oil'],['85kcal;Vegan'],芝麻 菠菜,0,,0,
干炒牛柳河,['teppan fried ho fun with beef fillet dry'],[''],干 炒 牛 柳河,0,,0,
孜然牛肉,"['aromatic beef with cumin', 'stir fried beef with cumin']","['', 'Stir fried sliced beef with mixed peppers and coriander infused in a spicy cumin flavour']",孜然 牛肉,0,,0,
四川牛肉,"['fried sliced beef in szechwan sauce', 'fried sliced beef in szechuan sauce']","['', '']",四川 牛肉,1,,1,
金针菇肥牛,"['sliced beef with enoki mushroom', 'beef strip with enoki mushroom']","['', '']",金针 金针菇 肥牛,0,,0,
铁板果汁鸡片,['sizzling chicken in sweet fruit sauce'],[''],铁板 果汁 鸡片,1,,1,
担担面,"['Dandan noodles', 'dan dan noodles with minced pork', 'noodles in chili sauce, sichuan style', 'Chen’s Original Spicy Noodle Soup']","['', 'Noodles with minced pork sesame sauce chilli oil and Sichuan peppercorns', '', '']",担担面,1,,1,
湖南小炒肉,"['hunan style fried pork slices', 'stir fried pork with hunan style']","['', '']",湖南 小炒 肉,1,,1,
海鲜星洲炒米粉,['seafood singapore vermicelli'],[''],海鲜 星洲 炒 米粉,0,,0,
沙律明虾饺,['deep fried king prawn dumplings'],[''],沙律 明 虾饺,1,,1,
脆皮春卷,['crispy spring rolls'],[''],脆皮 春卷,1,,1,
麻辣小龙虾,"['stir fried crayfish in spicy chilli sauce', 'spicy crayfish in hunan style']","['', '']",麻辣 小龙 龙虾 小龙虾,1,,1,
叉烧包,"['char siu bun', 'iberico char siu bao', 'bbq pork bun']","['', '', '']",叉烧 烧包 叉烧包,0,,0,
黄金龙虾粒炒饭,"['fried rice with diced mixed seafood and black garlic', 'diced wagyu eef fried rice']","['', '']",黄金 龙虾 粒 炒饭,1,,1,
咕噜汁,['sweet and sour sauce'],[''],咕噜 汁,1,,1,
四川担担面,"['classic sichuan dan dan mian', 'the legendary dan dan noodles with minced pork', 'sichuan dandan noodles with minced pork & chilli sauce in soup']","['Noodles, Pork, Chilli, Spring Onion, Sesame Sauce', '', 'Wheat noodles in soup topped with finely chopped pork a mixture of Sichuan pepper and vegetables;(contains peanut and sesame)']",四川 担担面,1,,1,
黑椒牛仔骨,['calf bone in black pepper sauce'],[''],黑椒 牛仔 骨,0,,0,
红油肚丝,"['pork tripe with chilli oil', ""shredded pig's maw in chilli sauce""]","['', '']",红油 肚丝,1,,1,
干煸四季豆,"['fried green beans with mince pork', 'stir-fried french bean with chilli & minced pork', 'stir fried french beans', 'deep fried french beans with minced pork chilli', 'Wok-fried String Bean with Minced Pork', 'dry fried green beans with minced pork']","['', 'French Bean, Chilli, Minced Pork', '', '', '', '']",干煸 四季 四季豆,1,,1,
番茄青瓜蛋花汤,"['cucuber tomato and egg soup', 'tomato cucumber and egg soup']","['', '']",番茄 青瓜 蛋花 花汤 蛋花汤,0,,0,
酱海中宝,['sea treasures in xo sauce'],[''],海中宝 酱 海中,3,海中宝,1,1.0
翡翠罗汉斋饺,"[""budda's delight dumplings v vg""]",[''],翡翠 罗汉 斋 饺,2,,1,
斋干煸四季豆,['vegetarian dry fried fine beans'],[''],斋 干煸 四季 四季豆,1,,1,
四喜丸子,"['sixi pork meatballs', 'sixi pork meatballs with chinese water', 'braised pork balls in gravy']","['', 'pork with Chinese water chestnuts', '']",丸子 四喜丸子 四喜,1,四喜丸子,1,2.0
港式烧鸭,"['roast duck hong kong style', 'Roasted duck']","['Vịt quay kiểu Hồng Kông', '']",港式 烧鸭,1,,1,
辣子鸡丁,"['spicy chicken with chilli', 'classic chicken in spicy sauce']","['', 'Stir fried chicken with spicy bean sauce and peppers']",辣子 子鸡 鸡丁 辣子鸡 辣子鸡丁,1,,1,
甜酸豆腐,"['sweet and sour beancu', 'sweet and sour tofu']","['', 'Stir fried tofu with pineapples coated in a treacly sweet and tangy sauce']",甜酸 豆腐,0,,0,
鱼香虾,"['yuxiang shrimps sauteed with spicy garlic sauce ', 'fish fragrant prawns']","['', '']",鱼香 虾,2,,1,
鲍汁蛋包饭,"['egg fried rice topped with shrimps and diced roasted duck', 'prawn fried rice with egg white and dried scallop']","['', '']",鲍汁 蛋包 包饭 蛋包饭,1,,1,
芋丝炸春卷,"['taro spring rolls', 'crispy taro spring rolls']","['', '']",芋丝炸 春卷,1,,1,
带子肠粉,"['isle of mull seared scallop and honey glazed iberico pork cheung fun', 'isle of mull seared scallop and honey glazed iberico pork cheung']","['', '']",肠粉 带子,2,肠粉,1,2.0
肉夹馍,"['xian with sesame coriander and chilli and xinjiang pomegranate salad', 'xian city with sesame coriander and chilli and xinjiang pomegranate salad']","['', '']",肉夹馍,1,肉夹馍,1,-1.0
海鲜汤面,"['toasted noodles with mixed seafood in xo sauce', 'noodle soup with seafood']","['', '']",海鲜 汤面,0,,0,0.0
猪肉白菜水饺,"['pork chinese leaves dumplings', 'boiled pork and chinese cabbage dumplings', 'jiaozi stuffed with pork and chinese cabbage']","['', '(p)', '']",猪肉 白菜 水饺,1,,1,
韭菜鸡锅贴,['pan fried chicken and chive dumpling'],[''],韭菜 鸡 锅贴,1,,1,
甜酸鸡,"['sweet and sour chicken', 'sweet and sour chicken thai basil pineapple and candied walnuts']","['', '']",鸡 甜酸 甜酸鸡,1,甜酸鸡 甜酸,1,
豉油皇姜葱鸡片,['sliced chicken with ginger and spring onion in soya sauce'],[''],豉 油皇 姜葱 鸡片,1,,1,
海鲜酸辣羹,"['seafood hot and sour soup', 'Hot and sour soup with seafood']","['Súp hải sản chua cay', '']",海鲜 酸辣 羹,0,,0,
手拍黄瓜,"['cucumber in spicy sauce', 'spinach dressed in sesame oil']","['', 'Cucumber in Spicy Sauce;8kcal;Vegan']",黄瓜 手拍,1,手拍,1,1.0
椒盐猪扒,['salt and pepper pork chops'],[''],椒盐 猪扒,0,,0,
金牌荷叶饭,"['diced mixed seafood fried rice with black garlic', 'egg wrap fried rice with abalone sauce']","['', '']",金牌 荷叶 饭,1,,1,
酿蟹钳,"['zhou dynasty cured scallop stuffed crab claw', 'crab claw with tomato and wasabi zhou']","['', '']",酿蟹 酿蟹钳,0,,0,
鸡球炒饭,['sliced chicken fried rice'],[''],鸡球 炒饭,0,,0,
杂菜炒饭,"['mixed vegetable fried rice egg fried', 'vegetable fried rice']","['', 'Rice or Boiled Rice']",杂菜 炒饭,0,,0,0.0
炒杂菜,['stir fried mixed vegetables'],[''],炒杂 菜,0,,0,
清蒸鲈鱼,"['steamed sea bass with spring onion and soya sauce', 'steamed whole seabass with ginger and spring onions in soy sauce']","['', '']",清蒸 鲈鱼,0,,0,
虾饺,"['clear shrimp dumpling sweet chilli sauce rice vinegar cloud', 'har gau prawn dumpling', 'Shrimp dumplings', 'har kau', 'prawn dumpling']","['', '', '', '', '']",虾饺,0,,0,
芝麻虾多士,"['sesame prawn on toasted baguette', 'sesame prawn toast', 'sesame prawn meat on toast']","['', '', '']",芝麻 虾多士,3,虾多士,1,1.0
咖哩炸鸡角,"['chicken curried samosas', 'curried chicken samosas']","['', '']",咖哩 炸鸡 角,1,,1,
椒盐百花酿鲜鱿,"['salt and pepper pak far squid', 'salt and pepper pak far squids']","['', '']",椒盐 百花 百花酿 鲜 鱿,1,,1,
带子酥,['layered scallop puff with xo oil'],[''],带子 酥,1,,1,
番茄蛋花汤,"['tomato and egg soup ', 'tomato & egg light soup ']","['', 'Tomato & Egg']",番茄 蛋花 花汤 蛋花汤,0,,0,
酥炸鱿鱼圈,"['crispy pastry savoury meat croquette contain shrimp', 'deep fried squid ring']","['', 'ORIENT']",酥炸 鱿鱼 圈,0,,0,
串烧中式汁牛柳,['fillet steak on skewers in cantonese sauce'],[''],串烧 中式 汁 牛柳,1,,1,
干煸肥肠,"['intestine with dried chilli', 'dry fried pork intestines']","['', '']",干煸 肥肠,1,,1,
辣椒蒜蓉炒,['pan fried with chilli and garlic'],[''],辣椒 蒜蓉 炒,1,,1,
家常豆腐,"['home-made sauteed tofu', 'Home style sauteed Tofu', 'home style tofu']","['', 'Another type of Sichuan Flavour inspired by home style cooking Deep fried thick sliced tofu and pork belly in a savoury medium hot chilli bean sauce with a touch of sweetness', '']",家常 豆腐,0,,0,
椒盐鱿鱼,['salt and pepper squid'],[''],椒盐 鱿鱼,0,,0,
夫妻肺片,"['sliced beef and ox tongue in chili sauce', 'sliced beef and ox tongue in chilli sauce', 'sliced beef and tripe with chilli oil']","['', '', '', '']",夫妻肺片,3,夫妻肺片,1,3.0
炸烹刀鱼,['dry fried ribbon fish'],[''],炸 烹 刀鱼,1,,1,
蟹黄蒸烧卖,['siu mai prawn and meat dumplings'],[''],蟹黄 蒸 烧卖,1,,1,
千丝萝卜酥,['crispy radish dumplings'],[''],萝卜 酥 千丝,2,千丝,1,-1.0
鲍鱼海珍煲,['braised abalone and seafood in casserole'],[''],鲍鱼 海珍煲,1,,1,
泰式鱼饼,"['deep fried thai style fish croquette', ""c'weeds dim sum platter""]","['', 'per head;Fish Cake']",泰式 鱼饼,0,,0,
巧克力豆沙小笼包,['red bean xiao long bao'],['with Chocolate Lava'],巧克力 豆沙 小笼 小笼包,2,,1,
椒盐鸡翼,['salt and pepper chicken wings'],[''],椒盐 鸡翼,0,,0,
中式牛柳卷,['fillet steak rolls in cantonese sauce'],[''],中式 牛柳 卷,1,,1,
京都骨,"['ribs in beijing sauce', 'peking style pork ribs']","['', '']",京都 骨,1,,1,
铁板酱爆带子,"['plate ', 'grilled scallops with chili and vegetables served on sizzling iron ']","['', '']",铁板 酱 爆 带子,0,,0,
金箔斋鸡饺,"['gold leaf beancurd dumpling', 'gold leaf vegetarian chicken dumpling']","['(v)', '']",金箔 斋 鸡 饺,0,,0,
姜丝云耳,['wood ear mushrooms with shredded ginger'],['Ginger Strips and Vinegar Dressing;70kcal;Vegan'],姜丝 云耳,1,,1,
铁板四川大虾,"['sizzling king prawns in szechwan sauce', 'sizzling king prawns in szechuan sauce']","['', '']",铁板 四川 大虾,1,,1,
沙爹大虾串,"['sizzling king prawn sata', 'sizzling satay king prawn skewers']","['', '']",沙爹 大虾 串,1,,1,
西柠汁鸡片,['sliced chicken in honey and lemon sauce'],[''],西柠汁 鸡片,0,,0,
椒盐鸡片,['salt and pepper chicken fillets'],[''],椒盐 鸡片,0,,0,
蟹肉伊面,"['stir fried ho fun with fillet steak', 'braised e fu noodles with fresh crab meat']","['', '']",蟹肉 伊面,1,,1,
素菜粒生菜包,['lettuce wrap with nuts'],[''],素菜 粒 生菜 包,1,,1,
凉拌黄瓜,"['shredded cucumber with sauce', 'cucumber in chef special chili oil']","['', 'Cucumber served with vinegar chilli oil garlic and soya sauce']",凉拌 黄瓜,0,,0,
四川鸡肉,['chicken in szechuan sauce'],[''],四川 鸡肉,1,,1,
百花蒸酿豆腐,['Steamed Stuffed Bean Curd'],[''],豆腐 蒸酿 百花,1,百花,1,1.0
豉汁煎酿双宝,['yin yan pak far tofu and aubergine pieces'],['Tofu and Aubergine Stuffed with Prawn Meat in Garlic Black Bean Sauce'],豉汁 双宝 煎酿,3,双宝,1,-1.0
咖喱豆腐,"['curry tofu', 'tofu in curry sauce']","['', '']",咖喱 豆腐,0,,0,
黑椒牛柳炒乌冬,"['stir fried udon with fillet steak in black pepper sauce s', 'braised e fu noodles with fresh crab meat']","['', '']",黑椒 牛柳 炒 乌冬,0,,0,
果木京式片皮鸭,['legendary peking duck'],[''],果木 京式 片皮鸭,2,,1,
黑松露杂菌饺,['wild mushroom dumpling with black truffle'],['(v)'],黑松 露 杂菌 饺,1,,1,
锅包肉,"['crispy double cooked sweet pork slices', 'crispy pork chop in fruity sauce']","['', 'Pork, Sugar, Ginger, Carrot']",锅包肉,2,锅包肉,1,
紫菜蛋花汤,"['seaweed & egg light soup ', 'seaweed and egg soup']","['', 'Seaweed & Egg']",紫菜 蛋花 花汤 蛋花汤,0,,0,
豉椒鱿鱼,"['sauteed squid with peppers in black bean sauce', 'squid with green peper and black bean sauce']","['', '']",豉椒 鱿鱼,1,,1,
香酥鸭丝卷,"['crispy duck pancakes with hoi sin sauce', 'pan fried duck pancakes with hoi sin sauce']","['', '']",香酥 鸭丝卷,2,,1,
尖椒土豆丝,['sauteed shredded potato with sliced chilli'],"['Potato, Red Chilli']",尖椒 土豆 豆丝 土豆丝,0,,0,
鸡肉炒面,"['chicken fried noodle', 'chicken fried noodles']","['', 'Fried egg noodles with chicken onions and bean sprout']",鸡肉 炒面,0,,0,
叉烧角,"['honey roasted iberico pork croustade with liquorice and dehydrated raspberry', 'honey roast iberico pork croustade with liquorice and dehydrated raspberry']","['', '']",叉烧 角,1,,1,
南乳罗汉斋,['stir fried lo han vegetables'],[''],罗汉斋 罗汉 南乳,3,罗汉斋,1,3.0
木须肉,"['muxu pork sauteed sliced pork, eggs and black fungus', 'pancake wraps of beansprouts egg and wood ear fungus']","['', '']",木须肉,2,木须肉,1,
铁板姜葱羊肉,['sizzling sliced lamb with ginger and spring onions'],[''],铁板 姜葱 羊肉,1,,1,
锅塌豆腐,"['tofu omelet', 'c fried beancurd peking style in garlic ginger spring onion sauce']","['', '']",豆腐 锅塌,1,锅塌,1,1.0
椒盐鸡丝,"['salt and pepper shredded chicken', 'salt and chilli shredded chicken']","['', 'Crispy shredded chicken served with pepper garlic and chilli']",椒盐 鸡丝,1,,1,
杞子桂花糕,"['osmanthus jelly with wolfberry o', 'manthus jelly with wolfberry w']","['', '']",杞子 桂花 糕,2,,1,
肉蟹姜葱炒清蒸椒盐,"['hard-shell crabstir-fried with ginger and scallion/steamed/ fried ', 'with spiced salt']","['', '']",肉蟹 姜葱 炒 清蒸 椒盐,1,,1,
蚝油叉烧包,"['baozi stuffed with bbq pork in oyster sauce', 'char siu pork bao']","['', '']",蚝油 叉烧 烧包 叉烧包,1,,1,
凉拌木耳,"[""shredded pig's maw in chilli sauce"", 'black fungus salad with fresh garlic serve chilled v']","['', 'Black fungus with crushed garlic']",凉拌 木耳,0,,0,
铁板沙爹牛柳,['sizzling fillet steak in peanut satay sauce'],[''],铁板 沙爹 牛柳,1,,1,
金蒜安格斯黑椒牛柳粒,['angus tenderloin beef with black pepper sauce'],[''],金蒜 格斯 安格斯 黑椒 牛柳 粒,1,,1,
斋星洲炒米粉,['vegetarian singapore vermicelli'],[''],斋 星洲 炒 米粉,1,,1,
菜肉煎窝貼,['war tips pan fried pork dumplings'],[''],菜肉 煎 窝 貼,0,,0,
芋头排骨汤,"['spare ribs with taro soup ', 'taro with spare ribs']","['', '']",芋头 排骨 排骨汤,0,,0,
冬菇炒鸡肉,['chicken with chinese mushrooms'],[''],冬菇 炒 鸡肉,0,,0,
蒸素菜潮州粉果,['spicy vegetable and nut dumplings'],[''],蒸 素菜 潮州 粉果,1,,1,
桃胶杞子饺,"['yam and goji dumpling', 'peach gum yam and goji dumpling']","['(v)', '( v )']",桃胶 杞子 饺,2,,1,
蜜汁叉烧饱,"['char sui bau steamed pork buns', 'char sui bau steamed barbecued pork buns pieces']","['', '']",蜜汁 叉烧 饱,1,,1,
椒盐牛丝,['salt and pepper crispy shredded beef'],[''],椒盐 牛丝,0,,0,
炸南瓜饼,"['deep fried pumpkin cake', 'deep-fried pumpkin cake']","['', '']",炸 南瓜 南瓜饼,0,,0,
清蒸带子,"['steamed scallop', 'fresh steam scallop each']","['', '']",清蒸 带子,1,,1,
冬菇酸辣羹,['vegetarian hot and sour soup'],[''],冬菇 酸辣 羹,0,,0,
糖醋里脊,"['Sweet and Sour Pork Fillet', 'Fried Sweet and Sour Pork', 'sweet and sour pork tenderloin', 'crispy fried pork tenderloin with sweet vinegar']","['', 'Pork, Carrot, Bamboo Shoot, Sugar, Vinegar', '', '']",糖醋 里脊,0,,0,
鲍汁蒸凤爪,['steamed chicken feet in abalone sauce'],[''],鲍汁 蒸 凤爪,1,,1,
斋麻婆豆腐,"['vegetarian ma po tofu', 'ma po tofu bean curd with chilli and pepper', 'vegetarian mapo beancurd in szechuan sauce v']","['', '', '']",斋 麻婆 豆腐 麻婆豆腐,1,,1,
烧卖,"['pork and prawn dumpling pork crackling black bean relish', 'pork and prawn dumpling pork crackling', 'Pork dumplings (Shiu Mai)']","['', '', '']",烧卖,1,,1,
芝麻虾多士皇,"['supreme sesame prawn meat on toasts', 'supreme sesame prawn meat on toast']","['', '']",芝麻 虾多士 皇,1,,1,
上海辣羊肉,['shanghai hot chilli sliced lamb'],[''],上海 辣 羊肉,0,,0,
蒸蒜蓉菠菜海鲜饺,"['seafood in garlic and spinach dumplings', 'seafood in garlic and spinach dumplings pieces']","['', '']",蒸 蒜蓉 菠菜 海鲜 饺,1,,1,
咖喱鸡煲,['clay pot chicken in curry sauce'],[''],咖喱 咖喱鸡 煲,0,,0,
白米饭,"['boiled rice', 'steamed jasmine rice', 'steamed rice']","['', '', '']",白米 米饭 白米饭,0,,0,
京都酸辣汤,"['peking hot and sour soup with pork and shrimps', 'peking hot and sour soup']","['', '']",京都 酸辣 酸辣汤,1,,1,
山竹牛肉球,"['steamed beef balls', 'beef dumplings contains pork']","['', '']",山竹 牛肉 球,1,,1,
排骨蒸粉卷,['pork ribs cheung fun'],[''],排骨 蒸粉 卷,1,,1,
干炒牛柳河粉,"['toasted noodles with shredded pork', 'stir fried fillet steak ho fun in soya sauce']","['', '']",干 炒 牛 柳河 粉,1,,1,
中式牛肉,['beef in cantonese sauce'],[''],中式 牛肉,0,,0,
蚝油生菜,"['stir fried lettuce with oyster sauce', 'sauteed lettuce with oyster sauce']","['', '']",蚝油 生菜,0,,0,
蒜蓉郊外时蔬,['chinese vegetables in garlic sauce'],[''],蒜蓉 郊外 时蔬,1,,1,
铁板黑椒牛柳,"['sizzling fillet steak in black pepper sauce', 'sizzling beef tenderloin in black pepper sauce']","['', '']",铁板 黑椒 牛柳,0,,0,
萝卜牛腩煲,"['spicy aubergine with minced', 'beef brisket with mooli stew']","['Pork Hot Pot', '']",萝卜 牛腩 煲,0,,0,
双菇炒三丝,['stir fried mushroom sugar snap silver sprouts and mange tout'],[''],炒 双菇 三丝,1,三丝,1,-1.0
香煎京式菜肉饱,['pan fried peking style pork buns'],[''],香煎京式 菜肉 饱,1,,1,
歌乐山辣子鸡,"['diced chicken in sichuan style', 'geleshan dry fried diced chicken with pepper corn & dried chilli']","['', 'Chicken, Sichuan Pepper Corn, Spring Onion, Dried Chilli, Sesame']",歌乐山 辣子 乐山 辣子鸡 歌乐 子鸡,1,辣子鸡 歌乐山,1,1.0
麻辣风沙脆皮鸡,['spicy crispy chicken with cashew nut dried chilli and golden garlic'],[''],麻辣 风沙 脆皮 鸡,2,,1,
鲜虾炸粉果,['prawn parcels'],[''],鲜虾 炸粉果,0,,0,
姜葱辣椒丝豉油,['chilli soya sauce with spring onion'],[''],姜葱 辣椒 丝豉 油,0,,0,
奶黄包,"['baozi stuffed with custard ', 'custard bun']","['', '']",奶黄包,1,奶黄包,1,1.0
咕噜肉,"['sweet and sour pork', 'gulaorou sweet and sour pork']","['', '']",咕噜 肉,1,,1,
豉汁排骨饭,"['spare ribs in black bean sauce rice', 'rice with spare ribs in black bean sauce']","['', '']",豉汁 排骨 排骨饭,0,,0,
口水鸡,"['cold chicken appetizer with hot sauce', 'poached chicken with house special chilli oil sauce - cold dish']","['', '']",水鸡 口水 口水鸡,2,口水鸡,1,2.0
姜葱牛肉,"['beef with ginger and spring onion', 'sliced beef with ginger and spring onion']","['', '']",姜葱 牛肉,0,,0,
小鸡炖蘑菇,['braised chicken with chinese dry mushroom'],[''],小鸡 炖 蘑菇,0,,0,
铁板玉子豆腐,"['sizzling fillet steak in black pepper black bean cantonese style;l3', 'fresh egg tofu with pork mince and garden beans']","['', 'OR without Pork Mince']",铁板 玉子 豆腐,0,,0,
脆皮烧肉,"['crispy pork belly', 'Traditional rock salt roasted pork belly', 'crispy belly pork']","['Ba rọi quay giòn', '', '']",脆皮 烧肉,0,,0,
荔茸芋角,['fried yam paste meat dumplings'],[''],荔茸 芋角,1,,1,
脆皮炸斋粉果,['fried vegetable parcels'],[''],脆皮 炸斋 粉果,1,,1,
尖椒肥肠,"['fried pork intestines with chilli peppers', 'intestine with green chilli']","['', '']",尖椒 肥肠,0,,0,
串烧沙爹皇鸡柳,['sliced chicken on skewers in peanut satay sauce'],[''],串烧 沙爹 皇鸡 柳,1,,1,
铁板豉椒茄子,['sizzling aubergine with green & red pepper in black bean sauce'],"['Aubergine, Green & Red Pepper']",铁板 豉椒 茄子,0,,0,
毛头小丸子,"['little pork meatballs ', 'little pork meatballs']","['(pork with vermicelli)', '']",丸子 毛头 小丸子,1,毛头,1,1.0
花生皇沙爹鸡片,['chicken in peanut satay sauce'],[''],花生 皇沙爹 鸡片,1,,1,
酥炸鱼丸,['golden fried fish balls with sweet chilli dip'],[''],酥炸 鱼丸,1,,1,
泰式去骨凤爪,"['thai style chicken claws', 'king prawn cheung fun']","['', '']",泰式 去 骨 凤爪,0,,0,
药膳桃胶火鸭汤,['double boiled herbal duck soup with peach gum'],[''],桃胶 药膳 火 鸭汤,1,药膳,1,1.0
五香茶叶蛋,['tea-flavored boiled eggs'],[''],五香 茶叶 茶叶蛋,1,,1,
沙爹牛肉,['sliced beef with satay sauce'],[''],沙爹 牛肉,1,,1,
牛肉艇仔粥,['beef and seafood o'],[''],牛肉 艇 仔粥,1,,1,
蛋煎糯米鸡,['pan fried chicken glutinous rice in lotus leaf'],[''],蛋 煎 糯米 糯米鸡,1,,1,
椒盐鱿鱼塩,['salt and pepper squid'],[''],椒盐 鱿鱼 塩,0,,0,
凤脯汤,['minced chicken breast soup'],[''],凤脯 汤,1,,1,
时菜带子,['fried scallops with seasonal vegetables'],[''],时 菜 带子,0,,0,
和牛烧栗米,['barbecued forbidden city sweetcorn wagyu beef meat paste and black truffle'],[''],和牛 烧 栗米,0,,0,
时价龙虾,['beancurd seaweed and straw mushroom soup'],['Mixed Vegetable Sou;Fish Ball Sou;Shrimp Dumpling Soup;Minced Beef Soup West Lake Style;SECONDARY COURSE;BARBECUED PEKING DUCK;Whole;sliced of skin and meat served;with pancake and spring onion;AROMATIC CRISPY DUCK;deep fried shredded meat served;Whole;with pancake and spring onion;FRESH LOBSTER;Seasonal Price'],时价 龙虾,0,,0,
师傅炒饭,['chefs egg fried rice'],['with pickled vegetables supplement of'],师傅 炒饭,0,,0,
果汁甜酸鸡,['sweet t sour chicken'],[''],果汁 甜酸 鸡,1,,1,
鸡球汤面河粉乌冬,['chicken t vegetable in soup'],['with Noodle Rice Stick Udon'],鸡球 汤面 河粉 乌冬,1,,1,
麻酱鸡丝拌粉皮,['shredded chicken and glass noodles in sesame dressing serve chilled'],[''],麻酱 鸡丝 拌 粉皮,1,,1,
天妇罗虾配芥末蛋黄酱,['tempura prawns with wasabi mayonaise'],[''],天妇 罗虾 配 芥末 蛋黄 黄酱 蛋黄酱,0,,0,
姜葱带子,['scallops with ginger and spring onions'],[''],姜葱 带子,0,,0,
四川鸡铁板,['sizzling szechuan chicken'],[''],四川 鸡 铁板,1,,1,
葱焅河鲫鱼,['braised crucian carp with scallion'],[''],葱 焅 河 鲫鱼,1,,1,
子姜鸭,['sauteed duck with ginger shoots'],[''],鸭 子 姜 子姜,1,子姜,1,1.0
蜜辣苏格兰和尚鱼,['honey chilli scottish monk fish'],[''],蜜辣 苏格兰 和尚 鱼,2,,1,
羊米粉面,['braised lamb belly with pho noodles'],['Noodles in Soup'],羊 米粉 面,0,,0,
野生鲈鱼姜葱蒸古法蒸,['steamed wild sea bass with ginger and spring onion'],['Steamed with Shredded Pork and Chinese Mushrooms'],野生 鲈鱼 姜葱 古法 蒸古法 蒸,1,,1,
素咕噜肉,['sweet and sour vegetables'],[''],素 咕噜 肉,1,,1,
芽菜扣肉,['steamed pork slices with preserved vegetable'],[''],芽菜 扣肉,1,,1,
西芹炒鲈鱼球,['sea bream steamed braised in soy sauce deep fried with soy sauce'],[''],西芹 炒 鲈鱼 球,0,,0,
红烧狮子头,"['braised pork ball in brown sauce', 'Stewed Pork Balls']","['', '']",红烧 狮子头 狮子,3,狮子头,1,2.0
番茄疙瘩汤,['dough drop tomato soup'],[''],番茄 疙瘩 疙瘩汤,1,,1,
凉拌牛肚,['spicy beef tripe'],[''],凉拌 牛肚,0,,0,
煎什菜粉果,['pan-fried vegetable dumplings'],[''],煎 什菜 粉果,1,,1,
烧鸭叉烧双拼,['cantonese roasted duck with char sui pork'],[''],烧鸭 叉烧 双拼,1,,1,
韭菜炒蛋,['scrambled eggs with chinese chives'],[''],韭菜 炒蛋,0,,0,
慢煮日本和牛,['a slow cooked japanese a wagyu beef'],[''],慢煮 日本 和牛,0,,0,
澳带烩鱼肚,['braised australian fish maw with scallops'],[''],澳带 烩 鱼肚,1,,1,
鸡肉小笼包,['chicken xiao long bao'],[''],鸡肉 小笼 小笼包,1,,1,
泰国咖哩,['green curry dishes thai style'],[''],泰国 咖哩,0,,0,
尖椒肉片,['fried pork slices with chilli peppers'],[''],尖椒 肉片,0,,0,
凉拌拍香瓜,['cucumber with crushed garlic and sour sauce'],[''],凉拌 拍 香瓜,0,,0,
金豆芥兰,['chinese broccoli with soy beans'],[''],金豆 芥兰,0,,0,
秘制炒面,['chow mein fried soft noodles'],"['Soft Noodles, Vegetables, with or without Meat']",秘制 炒面,0,,0,
溜肚块,['sauteed sliced pork tripe'],[''],溜 肚块,3,,1,
天外天煎炸点心,"[""wing's fried dim sum""]",[''],天外 天外天 煎炸 点心,2,,1,
